GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
1600000US0681554,0681554,"Vacaville city, California",31090,1522,18547,1724,12543,1454
1600000US0681666,0681666,"Vallejo city, California",39666,1913,21898,1619,17768,1625
1600000US0682590,0682590,"Victorville city, California",31479,2030,19562,2058,11917,1970
1600000US0682954,0682954,"Visalia city, California",41717,1705,23721,2110,17996,1904
1600000US0682996,0682996,"Vista city, California",31892,1665,14778,1619,17114,1319
1600000US0683346,0683346,"Walnut Creek city, California",29359,1492,20174,1622,9185,1163
1600000US0684200,0684200,"West Covina city, California",29980,1204,18782,1185,11198,1197
1600000US0684550,0684550,"Westminster city, California",26057,1461,14267,1462,11790,1152
1600000US0685292,0685292,"Whittier city, California",28237,1277,16164,1162,12073,1223
1600000US0686832,0686832,"Yorba Linda city, California",21886,1085,17643,1279,4243,858
1600000US0686972,0686972,"Yuba City city, California",21338,872,11749,1092,9589,1047
1600000US0803455,0803455,"Arvada city, Colorado",45129,1781,34178,1894,10951,1475
1600000US0804000,0804000,"Aurora city, Colorado",123327,2518,69445,3056,53882,2704
1600000US0807850,0807850,"Boulder city, Colorado",41382,1535,19373,1426,22009,1712
1600000US0812815,0812815,"Centennial city, Colorado",37459,1437,30417,1440,7042,1031
1600000US0816000,0816000,"Colorado Springs city, Colorado",168699,2869,96798,2799,71901,2725
1600000US0820000,0820000,"Denver city, Colorado",270439,2772,128521,4126,141918,4479
1600000US0827425,0827425,"Fort Collins city, Colorado",58401,2239,30180,1815,28221,2046
1600000US0832155,0832155,"Greeley city, Colorado",33281,1370,18872,1272,14409,1307
1600000US0836410,0836410,"Highlands Ranch CDP, Colorado",35950,1594,29216,1482,6734,1066
1600000US0843000,0843000,"Lakewood city, Colorado",61169,2150,34425,2243,26744,2014
1600000US0845970,0845970,"Longmont city, Colorado",34325,1617,19797,1594,14528,1610
1600000US0846465,0846465,"Loveland city, Colorado",28717,1491,18886,1604,9831,1149
1600000US0862000,0862000,"Pueblo city, Colorado",42373,1535,23981,1513,18392,1609
1600000US0877290,0877290,"Thornton city, Colorado",42113,1739,28519,2044,13594,1810
1600000US0883835,0883835,"Westminster city, Colorado",42981,1396,28320,1620,14661,1428
1600000US0908000,0908000,"Bridgeport city, Connecticut",49887,2250,20543,1717,29344,2023
1600000US0918430,0918430,"Danbury city, Connecticut",29671,1429,17368,1602,12303,1657
1600000US0937000,0937000,"Hartford city, Connecticut",43345,2064,10279,960,33066,1852
1600000US0950370,0950370,"New Britain city, Connecticut",26577,1517,9908,1037,16669,1446
1600000US0952000,0952000,"New Haven city, Connecticut",51078,1965,15953,1580,35125,2045
1600000US0955990,0955990,"Norwalk city, Connecticut",34957,1771,22724,1602,12233,1294
1600000US0973000,0973000,"Stamford city, Connecticut",46599,1849,26383,1901,20216,1871
1600000US0980000,0980000,"Waterbury city, Connecticut",40992,1793,19962,1656,21030,1845
1600000US1077580,1077580,"Wilmington city, Delaware",29575,1602,14004,1229,15571,1370
1600000US1150000,1150000,"Washington city, District of Columbia",266662,3138,110681,3549,155981,4855
1600000US1200410,1200410,"Alafaya CDP, Florida",28014,2849,17397,2292,10617,2526
1600000US1207300,1207300,"Boca Raton city, Florida",33784,1730,22807,1753,10977,1155
1600000US1207875,1207875,"Boynton Beach city, Florida",29040,1898,18066,2122,10974,1528
1600000US1208150,1208150,"Brandon CDP, Florida",38602,2331,21162,1635,17440,2042
1600000US1210275,1210275,"Cape Coral city, Florida",56705,2395,37481,2511,19224,2087
1600000US1212875,1212875,"Clearwater city, Florida",46635,2168,26405,1957,20230,2192
1600000US1214400,1214400,"Coral Springs city, Florida",39177,2045,25969,1869,13208,1344
1600000US1216475,1216475,"Davie town, Florida",31635,1615,22710,1534,8925,1411
1600000US1216725,1216725,"Deerfield Beach city, Florida",32625,2331,21559,1822,11066,1926
1600000US1217200,1217200,"Deltona city, Florida",29506,1760,23143,1929,6363,1508
1600000US1224000,1224000,"Fort Lauderdale city, Florida",69262,3233,36945,3313,32317,2167
1600000US1224125,1224125,"Fort Myers city, Florida",26600,1933,12811,1406,13789,1621
1600000US1225175,1225175,"Gainesville city, Florida",44559,2554,16674,1785,27885,2431
1600000US1230000,1230000,"Hialeah city, Florida",69816,2373,32578,2093,37238,2025
1600000US1232000,1232000,"Hollywood city, Florida",57364,2245,34181,2284,23183,2021
